麥	⿆
麻	⿇
黃	⿈
黍	⿉
黎	黎
黑	⿊
黹	⿋
黽	⿌
鼎	⿍
鼓	⿎
鼠	⿏
鼻	⿐
齊	⿑
齒	⿒
龍	⿓
龜	⿔
龠	⿕
